100_001|Главная|Hauptseite
100_021|Результат обучения - навык устранения проблемных ситуаций|Das Lernergebnis ist die Fähigkeit zur Auflösung von Problemsituationen
100_023|ИКР|IER (Ideales Endresultat)
100_024|Предварительные решения|Vorläufige Lösungen
100_025|Финальное решение|Finale Lösung
100_026|Техническое предложение|Technischer Vorschlag
100_027|Гипотезы|Hypothesen
100_028|Задача|Aufgabe
100_029|Модель задачи «Условия в ОЗ»|Problemmodell „Bedingungen in der Operativen Zone“
100_030|Модель задачи «Действия в ОЗ»|Problemmodell „Wirkungen in der Operativen Zone“
100_031|Модель задачи «Техническое противоречие»|Problemmodell „Technischer Widerspruch“
100_032|Модель задачи «Физическое противоречие»|Problemmodell „Physikalischer Widerspruch“
100_033|Модель решения|Lösungsmodell
100_034|Требования к ресурсу|Anforderungen an die Ressource
100_035|Проблемная ситуация|Problemsituation
100_036|Проблемная операция|Problematische Operation
100_037|Конфликт|Konflikt
100_038|Улучшенная ситуация|Verbesserte Situation
101_001|Задачи для самостоятельного решения|Aufgaben zur eigenständigen Lösung
101_004|Серия 1|Serie 1
101_005|1.1 Мачта корабля|1.1 Schiffsmast
101_007|Проблемная ситуация: Речной катер должен проходить под мостами, пересекающими реку. У корабля есть высокая радиомачта. Когда вода в реке поднимается, катер начинает задевать мачтой некоторые мосты и её можно сломать. Укорачивать мачту нельзя, потому что антенна и топовый фонарь, которые она несет, должны быть на определённой высоте.|Problemsituation: Das Flussboot muss unter den Brücken durchfahren, die den Fluss überqueren. Das Schiff hat einen hohen Funkmast. Wenn das Wasser im Fluss steigt, fängt das Boot an, einige Brücken mit dem Mast zu berühren und dieser kann zerbrechen. Es ist nicht möglich, den Mast zu kürzen, weil die Antenne und das Oberlicht, das er trägt, auf einer bestimmten Höhe sein muss. 
101_008|Вопрос: Как исключить поломку мачты при проходе под мостом?|Frage: Wie kann ein Mastbruch beim Unterfahren einer Brücke ausgeschlossen werden?
101_010|1.2 Самосвал загрязняет воздух|1.2 Kipper verschmutzt die Luft
101_012|Проблемная ситуация: Карьерные самосвалы транспортируют руду из горнорудного карьера, которая представляет собой разрыхлённую грунтовую массу. Проблема состоит в том, что выхлопные газы самосвалов загрязняют воздух в карьере сажистыми частицами и окисью углерода.|Problemsituation: Bergbau-LKW transportieren Erz aus dem Steinbruch, das in der Form einer gelockerten Bodenmasse vorliegt. Das Problem ist, dass die Abgase der LKW die Luft im Steinbruch mit Rußpartikeln und Kohlenmonoxid verschmutzen.
101_013|Пробовали решить эту проблему, устанавливая фильтры на выхлопной трубе самосвала. Однако стоимость таких фильтров высока, их надо часто очищать, а это ведет к простою самосвалов. |Wir haben versucht, dieses Problem durch die Installation von Filtern am Auspuffrohr des Lastwagens zu lösen. Die Kosten für solche Filter sind jedoch hoch. Sie müssen häufig gereinigt werden. Dies führt zu Ausfallzeiten des Lastwagens.
101_014|Вопрос: Как отфильтровать выхлопные газы, не усложняя конструкцию и эксплуатацию автомобиля?|Frage: Wie kann man Abgase filtern, ohne das Design und den Betrieb des Autos zu verkomplizieren?
101_016|1.3 Производство металлических шариков|1.3 Herstellung von Metallkugeln
101_018|Проблемная ситуация: Для изготовления небольших металлических шариков, капли расплавленного металла падают в воду с некоторой высоты и остывают там. Во время падения капля имеет сферическую форму, но при ударе о поверхность воды шарики немного деформируются. |Problemsituation: Um kleine Metallkugeln herzustellen, fallen Metallschmelzen aus einer bestimmten Höhe ins Wasser und kühlen dort ab. Während des Fallens hat der Tropfen eine Kugelform, aber wenn er auf die Wasseroberfläche trifft, werden die Kugeln leicht deformiert.
101_019|Вопрос: Как предотвратить деформацию шарика?|Frage: Wie kann die Deformation der Kugelform verhindert werden?
101_021|1.4 Как сдвинуть тяжёлый поезд|1.4 Wie kann man einen schweren Zug anfahren
101_023|Проблемная ситуация: Если машинист локомотива попытается сразу тронуть тяжелый поезд, то может оказаться, что ничего не получится. Масса поезда слишком высока, чтобы локомотив смог сдвинуть его сразу.|Problem: Wenn der Lokführer sofort versucht, einen schweren Zug unmittelbar anzufahren, ist das möglicherweise erfolglos. Der Zug ist zu schwer, als dass die Lokomotive ihn sofort bewegen könnte.
101_024|Вопрос: Как уменьшить сопротивление тяжелого поезда усилию локомотиву при трогании?|Frage: Wie kann der Intertialwiderstand eines schweren Zuges gegen eine Lokomotive beim Anfahren verringert werden?
101_026|1.5 Очки гонщика|1.5 Rennfahrerbrille
101_029|Проблемная ситуация: При мотогонках по пустыне возникает следующая проблема. Как правило, гонщик движется в облаке пыли, поднятой предыдущими участниками. Частицы песка быстро истирают даже самые износостойкие стекла очков, и становится трудно наблюдать за трассой.|Problemsituation: Bei Rennen in der Wüste tritt das folgende Problem auf. In der Regel bewegt sich der Fahrer in einer Staubwolke, die von früheren Teilnehmern aufgewirbelt wurde. Sandpartikel zerkratzen schnell selbst die abriebfestesten Gläser der Brille, und es wird schwierig, die Strecke zu beobachten.
101_030|Вопрос: Как обеспечить, чтобы гонщик хорошо видел дорогу на всём протяжении гонки?|Frage: Wie kann sichergestellt werden, dass der Fahrer die Straße während des gesamten Rennens gut sieht?
101_032|1.6 Как выдержать точную высоту полета|1.6 Wie kann die genaue Flughöhe eingehalten werden
101_034|Проблемная ситуация: Часто бывает нужно выдержать точную высоту самолета или вертолета, когда они движутся на бреющем полёте. Особенно трудно это сделать ночью, когда земля плохо видна.|Problem: Es ist häufig erforderlich, die genaue Höhe eines Flugzeugs oder Hubschraubers beizubehalten, wenn sie sich auf Tiefflügen bewegen. Dies ist besonders nachts schwierig, wenn der Boden schlecht sichtbar ist.
101_035|Вопрос: Как выдержать высоту полёта с точностью до одного метра?|Frage: Wie kann man die Flughöhe mit einer Genauigkeit von einem Meter einhalten?
101_038|Контрольные задачи - Серия 2|Kontrollaufgaben - Serie 2
101_039|2.1 Переезд библиотеки|2.1 Umzug der Bibliothek
101_041|Проблемная ситуация: Представьте, что вы—директор городской библиотеки. Для неё построено новое здание. Нужно перевозить книги, но на это недостаточно денег.|Problem: Stellen Sie sich vor, Sie sind der Direktor einer Stadtbibliothek. Ein neues Gebäude wurde für diese gebaut. Es müssen Bücher transportiert werdenen, aber dafür ist nicht genug Geld da.
101_042|Вопрос: Как перевезти книги из старого здания библиотеки в новое с минимальными затратами?|Frage: Wie kann man kostengünstig Bücher aus dem alten Bibliotheksgebäude in das neue überführen?
101_044|2.2 Патрулирование самолётов|2.2 Kontrollflüge mit dem Flugzeug
101_046|Проблемная ситуация: При патрулировании над прикрываемыми объектами летчики кружились на высоте около полутора-двух километров. Самолеты летали на так называемой «экономичной» скорости, когда мотор потребляет минимум горючего. При внезапном появлении противника надо было набирать скорость или высоту, чтобы отразить атаку, а времени на это часто не было. |Problemsituation: Beim Patrouillieren über verdeckten Objekten kreisten Piloten in einer Höhe von etwa eineinhalb bis zwei Kilometern. Flugzeuge flogen mit der sogenannten „sparsamen“ Geschwindigkeit, wenn der Motor ein Minimum an Treibstoff verbraucht. Als der Feind plötzlich auftauchte, war es notwendig, an Geschwindigkeit oder Höhe zu gewinnen, um den Angriff abwehren, und dafür war oft keine Zeit. 
101_047|Если же патрулировать на высоте трех-четырех километров, условия для отражения атаки были превосходными, поскольку будет запас высоты. Но на фоне земли трудно заметить подлетавшие самолеты противника. |Wenn man in einer Höhe von drei bis vier Kilometern patrouilliert, sind die Bedingungen für die Abwehr des Angriffs ausgezeichnet, da es eine Höhenreserve gibt. Es ist jedoch schwierig, den Anflug feindlicher Flugzeuge auf dem Hintergrund des Bodens zu bemerken.
101_048|Вопрос: Как нужно патрулировать, чтобы эффективно отражать атаки противника?|Frage: Wie soll man patrouillieren, um feindliche Angriffe effektiv abzuwehren?
101_050|2.3 Пескоструйная обработка|2.3 Sandstrahlen
101_052|Проблемная ситуация: Для удаления окалины после закалки, деталь обрабатывают струей песка. Песок хорошо отчищает окалины, но песчинки остаются в сложных выемках. Требуется дополнительная операция - удаление застрявшего песка.|Problemsituation: Um den Zunder nach dem Aushärten zu entfernen, wird das Teil mit einem Sandstrahl bearbeitet. Sand reinigt den Zunder gut, aber die Sandkörner verbleiben in schwierigen Hohlräumen. Ein zusätzlicher Vorgang ist erforderlich - Entfernen von anhaftendem Sand.
101_053|Вопрос: Как упростить удаление абразивных частиц из глубоких выемок?|Frage: Wie kann die Entfernung von Schleifpartikeln aus tiefen Ritzen vereinfacht werden?
101_055|2.4 Как двигателю сэкономить топливо|2.4. Wie Kraftstoff für den Antrieb sparen
101_057|Проблемная ситуация: Мотор тяжелой машины всегда трудно запустить, и при простоях его просто оставляют работать. Однако тяжелый двигатель расходует много топлива, даже если он работает на самых малых оборотах.|Problem: Der Motor einer schweren Maschine lässt sich nur schwer starten, so dass man ihn zu Stillstandszeiten einfach im Leerlauf arbeiten lässt. Der Motor verbraucht jedoch viel Kraftstoff, auch wenn er mit der niedrigsten Drehzahl läuft.
101_058|Вопрос: Как снизить расход топлива при простое тяжелой машины?|Frage: Wie kann der Kraftstoffverbrauch gesenkt werden, wenn ein schwerer Motor im Leerlauf arbeitet?
101_060|2.5 Абсолютный растворитель|2.5 Das absolute Lösungsmittel
101_063|Проблемная ситуация: Молодой изобретатель пришел в лабораторию Эдисона и предложил создать абсолютный растворитель – жидкость, которая растворяет все вещества на свете. Эдисон спросил изобретателя: А где вы будете хранить ваш растворитель? Молодой изобретатель не смог ответить на этот вопрос.|Problem: Der junge Erfinder kam zu Edisons Labor und schlug vor, ein absolutes Lösungsmittel zu schaffen - eine Flüssigkeit, die alle Substanzen der Welt auflöst. Edison fragte den Erfinder: Wo werden Sie Ihr Lösungsmittel lagern? Der junge Erfinder konnte diese Frage nicht beantworten.
101_064|Вопрос: Как хранить абсолютный растворитель?|Frage: Wie ist das absolute Lösungsmittel aufzubewahren?
101_066|2.6 Запайка ампул|2.6 Verschließen von Ampullen
101_068|Проблемная ситуация: Ампулы, заполненные лекарством, должны быть запаяны. Для этого используется пламя горелки, расплавляющее стекло в носике ампулы. |Problem: Ampullen, die mit Medikamenten gefüllt sind, müssen versiegelt werden. Dazu wird die Flamme des Brenners verwendet, um das Glas in der Ampullennase zu schmelzen.
101_069|Но лекарство нельзя перегревать, от этого оно может испортиться.  Поэтому нагрев должен быть очень точным, что не всегда возможно.|Aber das Medikament darf nicht überhitzt werden, es kann dadurch verderben. Daher muss die Erwärmung sehr genau ausgeführt werden, was nicht immer möglich ist.
101_070|Вопрос: Как устранить перегрев лекарства при запайке ампул?|Frage: Wie kann eine Überhitzung des Arzneimittels beim Verschließen der Ampulle verhindert werden?
101_073|Контрольные задачи - Серия 3|Kontrollaufgaben - Serie 3
101_074|3.1 Измерение температуры жучка|3.1 Messen der Temperatur eines Käfers
101_076|Проблемная ситуация: Эта история произошла в 30-х года XX века. Учёные боролись с вредителями растениеводства — жуками-долгоносиками. Для того чтобы изучить жизненный цикл жучка и найти способ его уничтожения, нужно было постоянно отслеживать температуру тела. Для этого пытались разработать компактный температурный датчик. Но на тот момент не было ещё технологий, позволяющих сделать датчик маленьким.|Problemsituation: Diese Geschichte ereignete sich in den 30er Jahren des 20. Jahrhunderts. Wissenschaftler kämpften gegen Pflanzenschädlinge - Rüsselkäfer. Um den Lebenszyklus des Insekts zu untersuchen und einen Weg zu finden, diese zu vernichten, musste ständig die Körpertemperatur überwacht werden. Es wurde versucht, einen kompakten Temperatursensor zu entwickeln. Zu diesem Zeitpunkt gab es jedoch noch keine Technologie, um den Sensor klein zu machen. 
101_077|Вопрос: Как измерить температуру жучка, используя обычный термометр?|Frage: Wie misst man die Temperatur eines Käfers mit einem herkömmlichen Thermometer?
101_079|3.2 Негабаритный груз|3.2 Übergroße Fracht
101_081|Проблемная ситуация: Грузовик, который везет негабаритный груз, должен пройти через ворота. Проблема состоит в том, что груз на грузовике немного выше проёма ворот (буквально 2-3 см). Перегружать груз дорого и отнимает много времени. |Problem: Ein LKW mit übergroßer Ladung muss durch das Tor fahren. Das Problem ist, dass die Ladung auf dem LKW etwas höher ist als die Toröffnung  (wirklich nur 2-3 cm). Das Umladen wäre teuer und nähme viel Zeit in Anspruch.
101_082|Вопрос: Как можно провести груз через ворота?|Frage: Wie kann die Fracht durch das Tor gebracht werden?
101_084|3.3 Ловля рыбы|3.3 Angeln
101_086|Проблемная ситуация: При ловле рыбы применяется удочка с наживкой. Подмечено, что рыба лучше берёт наживку, если рядом есть другие рыбы: конкуренция стимулирует клёв. Но в естественных условиях трудно обеспечить наличие второй рыбы.|Problemsituation: Beim Angeln wird eine Köderangelrute verwendet. Es wurde festgestellt, dass Fische Köder besser annehmen, wenn sich andere Fische in der Nähe befinden: Der Wettbewerb fördert das Beißen. In einer natürlichen Umgebung ist es jedoch schwierig, die Anwesenheit eines zweiten Fisches sicherzustellen.
101_087|Вопрос: Как повысить уловистость снасти, используя описанную особенность поведения рыбы|Frage: Wie kann die Fangquote mit der beschriebenen Eigenschaft des Fischverhaltens erhöht werden?
101_089|3.4 Шлифовка внутренних поверхностей|3.4 Innenflächen schleifen
101_091|Проблемная ситуация: Внутренние поверхности алюминиевых деталей шлифуются вращающимися щетками. Щетки работают достаточно хорошо,когда форма полости относительно проста и имеются отверстия для доступа к ней. Сложные поверхности невозможно обработать таким образом. |Problemsituation: Die Innenflächen von Aluminiumteilen werden mit rotierenden Bürsten geschliffen. Die Bürsten funktionieren recht gut, wenn die Form der Innenfläche relativ einfach ist und es Löcher gibt, um auf diese zugreifen zu können. Komplexe Oberflächen können auf diese Weise nicht bearbeitet werden.
101_092|Проблемная ситуация: Внутренние поверхности алюминиевых деталей шлифуются вращающимися щетками.Щетки работают достаточно хорошо,когда форма полости относительно проста и имеются отверстия для доступа к ней. Сложные поверхности невозможно обработать таким образом. |Problemsituation: Die Innenflächen von Aluminiumteilen werden mit rotierenden Bürsten geschliffen. Die Bürsten funktionieren recht gut, wenn die Form der Innenfläche relativ einfach ist und es Löcher gibt, um auf diese zugreifen zu können. Komplexe Oberflächen können auf diese Weise nicht bearbeitet werden.
101_093|Вопрос: Как обработать внутренние поверхности там, где нельзя использовать щетку?|Frage: Wie kann man Innenflächen bearbeiten, bei denen keine Bürste verwendet werden kann?
101_095|3.5 Как открутить гайку колеса|3.5 Radmutter abschrauben
101_097|Проблемная ситуация: Открутить приржавевшую гайку колеса баллонным ключом довольно трудно. Конечно, можно применить рычаг, удлинитель в виде трубы. Но часто бывает, что никакого удлинителя под рукой нет.|Problemsituation: Es ist ziemlich schwierig, eine verrostete Radmutter mit einem Radschlüssel abzuschrauben. Natürlich kann man einen Hebel verwenden, eine Verlängerung in Form eines Rohrs. Aber es kommt oft vor, dass keine Verlängerung zur Hand ist.
101_098|Вопрос: Как открутить гайку колеса, если нет удлинителя?|Frage: Wie löse ich die Radmutter, wenn kein Verlängerungsrohr vorhanden ist?
101_100|3.6 Безопасная резка бумаги|3.6 Sicheres Papierschneiden
101_102|Проблемная ситуация: При резке бумаги на гильотинном станке работник рискует повредить руку. Различные защитные приспособления снижают производительность труда, а предохранительные датчики не всегда надежны.|Problemsituation: Beim Schneiden von Papier auf einer Schneidbank kann der Arbeiter seine Hand verletzen. Verschiedene Schutzvorrichtungen beeinträchtigen die Produktivität, und Sicherheitssensoren sind nicht immer zuverlässig.
101_103|Вопрос: Как можно полностью исключить попадание руки работника в опасную зону в момент резания?|Frage: Wie kann sicher verhindert werden, dass sich die Hand eines Arbeiters zum Zeitpunkt des Schneidens nicht im Gefahrenbereich befindet?
101_111|Контрольные задачи - Серия 4|Kontrollaufgaben - Serie 4
101_112|4.1 Трос батискафа|4.1 Trosse für eine Tauchkugel
101_113|Проблемная ситуация: Батисфера представляет собой металлический шар с толстыми стенками, который спускают на большую глубину на тросе. Возникает такая проблема, что тяжелая батисфера и большой вес длинного троса требуют применения очень прочного трос. Для изготовления троса применялась самая лучшая на 60-е годы сталь, но риск остаться на дне слишком велик.|Problemsituation: Bei einer Tauchkugel handelt es sich um eine Metallkugel mit dicken Wänden, die an einer dicken Stahltrosse in tieferes Wasser abgesenkt wird. Es entsteht das Problem, dass eine solche Tauchkugel ein großes Gewicht hat und folglich eine sehr starke Trosse erforderlich ist. Es wird zwar der beste Stahl eingesetzt, der in den 1960er Jahren zur Verfügung stand, aber das Risiko, dass die Trosse reißt und die Kugel am Boden bleibt, ist zu groß. 
101_114|4.2 Система прицеливания истребителя|4.2 Feuerleitsysteme für Kampfflieger
101_116|Проблемная ситуация: Истребители времен 2 мировой войны вооружались пушками и пулеметами. Прицелы были несовершенные, и когда летчик стрелял из пулемета, он корректировал прицел по трассе светящихся пуль. С более мощными авиационными пушками корректировать прицел по трассе огня было невозможно, поскольку сильная отдача пушки моментально сбивала наводку. |Problemsituation: Kampfflieger im Zweiten Weltkriegs waren mit Kanonen und Maschinengewehren bewaffnet. Die Visiere waren nicht perfekt, und wenn der Pilot ein Maschinengewehr abfeuerte, korrigierte er das Feuer über die Trasse der Leuchtkugeln. Mit leistungsstärkeren Kanonen war die unmöglich, weil der starke Rückstoß dieser Waffe sofort die Zielerfassung störte. 
101_117|Предварительно прицелиться с примитивным прицелом было трудно. Целиться по трассе огня пушек невозможно и неэкономно.|Das Zielen mit einem primitiven Visier war vorher schwierig. Das Zielen läbgs der Leuchtspur ist unmöglich und unwirtschaftlich.
101_118|Вопрос: Как быть?|Frage: Was tun?
101_120|4.3 Очистка барабана|4.3 Trommel reinigen
101_122|Проблемная ситуация: На завершающих этапах прокатки тонкого высококачественного листа стали применяются полиуретановые барабаны. Проблема заключается в том, что на поверхности прокатываемой полосы попадаются мелкие и не очень частицы окалины. Они налипают на поверхность барабана, впиваются в него и начинают царапать сталь.|Problemsituation: In der Endphase des Walzens eines dünnen, hochwertigen Stahlblechs werden Polyurethan-Trommeln verwendet. Das Problem ist, dass kleine und größere Zunderpartikel auf die Oberfläche des Walzbandes gelangen. Sie haften an der Oberfläche der Trommel, brennen sich dort ein und beginnen, den Stahl zu zerkratzen. 
101_123|Вопрос: Как очистить барабан от твердых включений?|Frage: Wie reinige ich die Trommel von festen Einschlüssen?
101_125|4.4 Манекен|4.4 Modellpuppe
101_127|Проблемная ситуация: При раскрое одежды важно выбрать манекен, максимально копирующий фигуру заказчика. Поэтому каждый уважающий себя дом мод держит целый набор манекенов, – разного роста и разной комплекции. Чем больше разнокалиберных манекенов, тем точнее можно подобрать соответствующий. Но хороший манекен стоит немалых денег.|Problemsituation: Beim Schneidern von Kleidung ist es wichtig, eine Modellpuppe zu wählen, welche die Figur des Kunden maximal annähert. Daher verfügt jedes selbstbewusste Modehaus über eine ganze Reihe von Modellpuppen mit unterschiedlichen Höhen und Körperfiguren. Je mehr solche Modellpuppen vorhanden sind, desto genauer kann man eine passende auswählen. Aber eine gute Modellpuppe kostet viel Geld. 
101_128|Вопрос: Как быть?|Frage: Was tun?
101_130|4.5 Направление течения воды|4.5 Wasserrichtung kontrollieren
101_132|Проблемная ситуация: При ремонте сложной системы водоснабжения необходимо знать направление течения воды в трубопроводе. Проблема состоит в том, что начало и конец трубопровода скрыты в земле, и невозможно проверить, откуда и куда он ведет. |Problemsituation: Bei der Reparatur eines komplexen Wasserversorgungssystems muss die Richtung des Wasserflusses in der Rohrleitung bekannt sein. Das Problem ist, dass der Anfang und das Ende der Rohrleitung im Boden verborgen sind und nicht überprüft werden kann, woher und woher sie kommt.
101_133|Вопрос: Как узнать направление течения воды в закрытом трубопроводе?|Frage: Wie bringe ich in Erfahrung, in welche Richtung das Wasser in einer geschlossenen Rohrleitung fließt?
101_135|4.6 Как предотвратить хищение|4.6 Wie man einen Diebstahl verhindert
101_137|Проблемная ситуация: Одна из американских компаний, занимающихся производством спортивной обуви, открыла свои филиалы в Таиланде и Тайване. Дешевая рабочая сила и высокое качество обуви должна была обеспечить высокую прибыль компании на европейском и американском рынках. Тем не менее, прибыль оказалась значительно ниже. Проблема заключалась в том, что низкооплачиваемые местные рабочие были менее добросовестны, чем их американские коллеги. Часть обуви постоянно разворовывалась. Запреты, штрафы и увольнения не имели успех в решении этой проблемы.|Problemsituation: Ein an der Herstellung von Sportschuhen beteiligtes amerikanisches Unternehmen eröffnete seine Niederlassungen in Thailand und Taiwan. Billige Arbeitskräfte und eine hohe Qualität der Schuhe soll einen hohen Gewinn des Unternehmens auf dem europäischen und amerikanischen Markt sicherstellen.  Doch der Gewinn war deutlich geringer als erwartet. Das Problem war, dass die schlecht bezahlten einheimischen Arbeiter weniger gewissenhaft waren als ihre amerikanischen Kollegen. Ein Teil der Schuhe wurden ständig gestohlen. Verbote, Geldstrafen und Entlassungen lösten dieses Problem nicht. 
101_138|Вопрос: Как сделать, чтобы работники не воровали обувь?|Frage: Wie kann man verhindern, dass Arbeiter Schuhe stehlen?
101_141|Контрольные задачи - Серия 5|Kontrollaufgaben - Serie 5
101_142|5.1 Сковорода|5.1 Bratpfanne
101_144|Проблемная ситуация: Форма сковородки остается неизменной с давних времен. Дно и бортик конической формы, чтобы удобнее было доставать содержимое. В последнее время стала модной торообразная форма бортиков.  Это сделано для того, чтобы было удобно переворачивать, например, котлеты. Достаточно подтолкнуть котлету по поверхности скругленного бортика вверх, и она перевернется. Но добывать из такой сковороды содержимое стало труднее – мешают бортики.|Problemsituation: Die Form der Bratpfanne ist seit jeher unverändert. Der Boden und die Seite sind konisch geformt, um den Inhalt leichter zugänglich zu machen. In letzter Zeit ist die toroidale Form der Seiten in Mode gekommen. Dies wurde eingeführt, um beispielsweise Schnitzel bequem umzudrehen. Es reicht aus, das Schnitzel über die Oberfläche der abgerundeten Seite zu schieben, und es dreht sich um. Das Herausholen des Inhalts aus einer solchen Pfanne ist jedoch schwieriger geworden - die Seiten stören. 
101_145|Вопрос: Как объединить полезные свойства конического и скругленного бортиков?|Frage: Wie können die nützlichen Eigenschaften von konischen und abgerundeten Seiten kombiniert werden?
101_147|5.2 Быстрое надувание спасательной подушки|5.2 Rettungskissen schnell aufblasen
101_149|Проблемная ситуация: При спасении людей из высотных зданий применяются специальные подушки, наполняемые сжатым газом. Такую подушку можно быстро доставить на место приземления, а развертывается она сама. Однако, чтобы надуть большую подушку, нужно много времени.|Problemsituation: Bei der Rettung von Menschen aus Hochhäusern werden spezielle Kissen verwendet, die mit Druckluft gefüllt sind. Ein solches Kissen kann schnell zum Einsatzort geliefert werden, und es kann sich von selbst entfalten. Das Aufblasen eines großen Kissens nimmt jedoch viel Zeit in Anspruch.
101_150|Вопрос: Как ускорить надувание большой подушки?|Frage: Wie kann man das Aufblasen eines großen Kissens beschleunigen?
101_152|5.3 Как сделать деревянный киль парусника|5.3 Wie den Holzkiel eines Segelboots herstellen
101_154|Проблемная ситуация: Основа корпуса деревянного парусного корабля – это его киль. Он должен быть прочным, и лучше всего сделать носовую, закругленную часть киля из одного дерева. Прямое бревно тут не годится, а найти в лесу изогнутое нужным способ дерево практически невозможно.|Problemsituation: Die Basis des Rumpfes eines hölzernen Segelschiffs ist sein Kiel. Er sollte stark sein, und es ist am besten, den Bogen, den abgerundeten Teil des Kiels, aus einem Baum herzustellen. Ein gerader Stamm eignet sich hierfür nicht, aber einen geeignet gebogenen Baum im Wald zu finden, ist praktisch unmöglich. 
101_155|Вопрос: Как быть?|Frage: Was tun?
101_157|5.4 Охлаждение сопла ракеты|5.4 Raketendüse kühlen
101_159|Проблемная ситуация: Двигатель космического корабля излучает большое количество тепла, отчего сильно перегревается его камера сгорания и сопло. Для защиты камеры сгорания от перегрева, холодный окислитель сначала проходит через его стенки и только потом попадает внутрь. Но использовать этот метод для охлаждения сопла нельзя, поскольку оно получается слишком тяжелым и сложным.|Problemsituation: Der Antrieb eines Raumfahrzeugs gibt eine große Menge Wärme ab, wodurch sich die Brennkammer und die Düse überhitzen. Um die Brennkammer vor Überhitzung zu schützen, wird ein kaltes Oxidationsmittel zuerst längs der Wände geführt und gelangt erst dann in den Innenraum. Diese Methode kann jedoch nicht zum Kühlen der Raketendüse verwendet werden, weil die Düse sonst zu schwer und zu kompliziert wird. 
101_160|Вопрос: Как охлаждать сопло без усложнения и утяжеления конструкции?|Frage: Wie kann eine Düse gekühlt werden, ohne die Konstruktion komplizierter oder schwerer zu machen?
101_162|5.5 Производство травосмеси|5.5 Herstellung von Grasmischungen
101_164|Проблемная ситуация: Чтобы обеспечить животных достаточным количеством полезных ископаемых, необходимо кормить их смесью различных трав, например клевера, люцерны и тимофеевки. Для этого разные травы смешиваются перед кормлением. |Problem: Um die Tiere mit genügend Mineralien zu versorgen, muss man ihnen eine Mischung aus verschiedenen Kräutern wie Klee, Luzerne und Süßgräsern geben. Dazu werden verschiedene Kräuter vor dem Füttern gemischt.
101_165|Вопрос: Как можно упростить процесс приготовления кормосмеси?|Frage: Wie kann die Zubereitung von Futtermischungen vereinfacht werden?
101_167|5.6 Корабль - подъёмный кран|5.6 Schiffskran
